model,regime,directional_accuracy,sharpe_ratio,rmse,mae,r2_score,mape,max_drawdown,calmar_ratio,directional_accuracy_ci_lower,directional_accuracy_ci_upper,n_test
granger_only,rate_hike_rbi,0.5025773195876289,0.11719901252300273,0.022253578021509443,0.01718773388360882,-0.09859318909858983,1594.5861474583392,-0.5300128706550934,0.233827228210296,0.45618556701030927,0.551610824742268,388
granger_only,recovery_covid,0.4851063829787234,-1.4170259876009228,0.04378440674605345,0.024469633937572375,-0.2836533037188278,1.6195257043196296,-0.8648605847291351,-1.7511834098843735,0.41702127659574467,0.548936170212766,235
granger_only,recovery_india,0.48005908419497784,0.3619416867518638,0.02411660578891963,0.0197113395936396,-0.6926752841432866,6009.506208149512,-0.6684915418080217,0.360211477022768,0.4431314623338257,0.515546528803545,677
mean_reversion,covid_crash,0.4375,-1.8482119527693326,0.05811254785552142,0.03982069246195449,-0.11489545781527899,2.2851068424212544,-0.8747697248076092,-3.1812325484457022,0.359375,0.5234375,128
mean_reversion,current_bull,0.45481049562682213,-0.22932127176976258,0.01929737694959914,0.015810406396503437,-0.4289288567331,2918.8173735151504,-0.43916843101318903,-0.0235559700314198,0.40233236151603496,0.5073615160349854,343
mean_reversion,gfc_recovery,0.4912434325744308,0.28006144005278594,0.0315777529506104,0.024238896641577686,-0.09620374328620995,3504.6760722299846,-0.6931150728227932,0.3730904854571434,0.46322241681260945,0.5201401050788091,1142
mean_reversion,pre_demonetisation,0.5202156334231806,1.1803748009808879,0.022855678149070136,0.01823014248484753,-0.16461185664524258,10784.435610613265,-0.3707112933475446,1.7173780251103827,0.46630727762803237,0.5714285714285714,371
mean_reversion,rate_hike_rbi,0.4742268041237113,-0.6450583537826846,0.023891348694150702,0.018864075681350772,-0.266247318838547,2580.190828065249,-0.6489361686658467,-0.36461031120131154,0.422680412371134,0.520618556701031,388
mean_reversion,recovery_covid,0.5106382978723404,1.5082224407155935,0.03975736434434989,0.023816605947312275,-0.058385728605470755,2.190225166793345,-0.40428888570817756,4.134797395898598,0.451063829787234,0.574468085106383,235
mean_reversion,recovery_india,0.5051698670605613,0.7939380522671977,0.0203946259659927,0.016342448138460315,-0.2105222422632611,2957.374743825054,-0.3472263071824091,1.1910951860677315,0.46824224519940916,0.5435745937961596,677
momentum,covid_crash,0.5625,1.7354115607510303,0.05417883944406566,0.03814791614787909,0.030933215307119455,2.2007913949384443,-0.40521287991992344,6.867614675779287,0.4765625,0.640625,128
momentum,current_bull,0.5451895043731778,-0.17547264858890407,0.01925478349781341,0.015058185744289361,-0.4226279129665862,2918.627619584926,-0.5028590532106798,0.020572441390168502,0.4926384839650146,0.597667638483965,343
momentum,gfc_recovery,0.5087565674255692,-0.5519527485303511,0.03222113048148008,0.024221790380348114,-0.14132776536520075,3504.61575394464,-0.8762907333257944,-0.2951014191553442,0.4798598949211909,0.5367775831873906,1142
momentum,pre_demonetisation,0.4797843665768194,-1.5722184938921424,0.024968736572199036,0.019161938058707455,-0.3899082048876019,10784.43836145049,-0.7230176333282874,-0.8805475821171974,0.42857142857142855,0.5336927223719676,371
momentum,rate_hike_rbi,0.5257731958762887,0.30932699635984434,0.023091981013390588,0.01836551743902254,-0.18293147786707387,2580.103064778234,-0.509626069523624,0.46427926779376233,0.4793814432989691,0.5773195876288659,388
momentum,recovery_covid,0.48936170212765956,-1.6588786103987991,0.0429649823367748,0.024219439210080212,-0.23605580560258366,2.1542401842743866,-0.871786226044585,-1.9175029174313047,0.425531914893617,0.548936170212766,235
